Name;Done;Race;Class;Level;Caster level;BAB;Str;Dex;Con;Int;Wis;Cha;Acrobatics;Appraise;Bluff;Climb;Craft;Diplomacy;Disable Device;Disguise;Escape Artist;Fly;Handle Animal;Heal;Intimidate;Knowledge (arcana);Knowledge (dungeoneering);Knowledge (engineering);Knowledge (geography);Knowledge (history);Knowledge (local);Knowledge (nature);Knowledge (nobility);Knowledge (planes);Knowledge (religion);Linguistics;Perception;Perform;Profession;Ride;Sense Motive;Sleight of Hand;Spellcraft;Stealth;Survival;Swim;Use Magic Device;Fortitude;Reflex;Will;Or_things;Feats;To sort;Special;Prerequisite;Description
Aberrant Tumor;TRUE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;Aberrant bloodline;Aberrant bloodline;Gain a tumor familiar
Aberration-Bane Caster;TRUE;Gillman;;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;favored enemy (aberrations) class feature;Caster level 4th, gillman, favored enemy (aberrations) class feature;Increase the save DC of your spells that target aberrations
Abeyance;TRUE;;;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;1;;;;;;;;Int 13, Spellcraft 5 ranks, Use Magic Device 1 rank;Blood curse causes a creature to lose access to it's spell-like abilities
Ability Focus;TRUE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;Special attack;Special attack;Increase the DC of a special attack by 2.
Ability Mastery;TRUE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;;;;;;;Use Magic Device 3 ranks, base Fortitude saving throw bonus +4;Gain an enhancement bonus to an ability score with a suit of magic armor or transmutation-crafted item
Aboleth Deceiver;TRUE;Gillman;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;Iron Will;;enchantment resistance racial trait;Iron Will, gillman, enchantment resistance racial trait;Once per day, reroll a failed saving throw against a compulsion effect
Absorb Spirit;TRUE;;;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;died or possessed by an undead;Con 13, died or possessed by an undead;Temporarily absorb a spirit to prevent rejuvenation
Abundant Revelations;TRUE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;Mystery class feature;Mystery class feature;Use a single revelation more times each day
Acadamae Graduate;TRUE;;Wizard;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;"Specialist wizard 1st; cannot have conjuration as a forbidden school";"Specialist wizard 1st; cannot have conjuration as a forbidden school";Cast conjuration (summoning) spells faster
Accomplished Sneak Attacker;TRUE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;Sneak attack class feature;Sneak attack class feature;Increase your sneak attack damage
Accursed;TRUE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;"You must carry a curse that can be lifted only by a quest or similar great undertaking, or have the Cursed Birth background.";"You must carry a curse that can be lifted only by a quest or similar great undertaking, or have the Cursed Birth background.";Gain SR 5 + level, cannot be lowered
Accursed Critical;TRUE;;;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;Critical Focus;;ability to castbestow curseor major curse;Critical Focus, ability to castbestow curseor major curse, caster level 9th;Confirm a critical hit and cast a curse as part of the attack
Accursed Hex;TRUE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;Hex class feature;Hex class feature;Target a creature with a hex a second time that day if it made its save the first time
Ace Disarm???;FALSE;;;0;0;6;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;Deadly Aim, Ranged Disarm;;weapon training class feature with a ranged weapon;Dex 13, Deadly Aim, Ranged Disarm (Ranged Tactics Toolbox8), base attack bonus +6, weapon training class feature with a ranged weapon;No penalty when using Ranged Disarm, make Steal attempts instead of Disarm at range
